Absurd = ridiculous, senseless, foolish
Addictive = obsessive, consuming, captivating
Adorable = lovable, charming, delightful
Aged = old, ancient, mature
American = U.S. Citizen, Yankee, Apple Pie
Ancient = elderly, old, antique
Animated = lively, exuberant, spirited
Annoying = irritating, bothersome, teasing
Appetizing = appealing, tasty, flavorful
Arrogant = egotistical, overconfident, conceited
Awesome = amazing, remarkable, majestic
Awkward = clumsy, bumbling, uncoordinated
Believable = trustworthy, credible, convincing
Bogus = fraudulent, phony, insincere
Boisterous = loud, rambunctious, rowdy
Bold = daring, brave, courageous
Boring = dull, tedious, monotonous
Bright = brilliant, radiant, shiny
Brilliant = dazzling, gleaming, intelligent
Busy = occupied, meddlesome, engrossed
Calm = peaceful, tranquil, placid
Casual = easygoing, blase, nonchalant
Charismatic = alluring, magnetic, charming
Charming = captivating, enchanting, fascinating
Cheesy = trashy, tawdry, far-fetched
Chewy = gummy, rubbery, stringy
Chunky = lumpy, chubby, bumpy
Classic = timeless, definitive, vintage
Clean = washed, pure, tidy
Clueless = unaware, oblivious, ignorant
Cold = chilly, icy, aloof
Colorful = vivid, brilliant, kaleidoscopic
Comfortable = cozy, snug, restful
Comical = funny, hilarious, amusing
Complicated = difficult, complex, involved
Confused = muddled, bewildered, perplexed
Cool = chilly, hip, cold-blooded
Corrupt = dishonest, underhanded, shady
Cosmic = limitless, planetary, far out
Cosmopolitan = sophisticated, urbane, well-informed
Courageous = brave, gallant, dauntless
Cowardly = fearful, afraid, spineless
Cranky = crabby, cantankerous, grouchy
Crazed = insane, wild, deranged
Crazy = insane, bizarre, wacky
Creative = imaginative, artistic, original
Creepy = frightening, slithering, scary
Cruel = mean, harsh, merciless
Cuddly = loving, tender, huggable
Cute = pretty, perky, delightful
Dainty = delicate, fragile, thin
Dangerous = risky, chancy, hazardous
Dead = deceased, expired, unresponsive
Deadly = fatal, lethal, murderous
Delicate = dainty, tender, elegant
Delicious = tasty, pleasing, appetizing
Delightful = pleasing, enjoyable, charming
Demanding = difficult, exacting, bothersome
Depressing = dismal, gloomy, sad
Desperate = frantic, headlong, reckless
Dignified = stately, honorable, distinguished
Dirty = unclean, soiled, impure
Distinguished = dignified, extraordinary, acclaimed
Disturbing = unsettling, troubling, worrisome
Dramatic = exciting, sensational, theatrical
Dreamy = fanciful, whimsical, heavenly
Dull = boring, stupid, blunt
Dysfunctional = impaired, damaged, maladjusted
Earthy = unrefined, natural, crude
Easy = effortless, gentle, promiscuous
Eccentric = peculiar, odd, bizarre
Elitist = snobbish, arrogant, smug
Emotional = passionate, moving, volatile
Eternal = timeless, immortal, perpetual
European = of Europe, from Europe, about Europe
Exciting = thrilling, breathtaking, arousing
Exhausting = weakening, tiring, draining
Expensive = costly, valuable, exorbitant
Explosive = bursting, blasting, dangerous
Exquisite = excellent, refined, flawless
Extreme = exceptional, superlative, radical
Fabulous = marvelous, wonderful, incredible
Fake = unreal, counterfeit, deceptive
Fancy = showy, ornate, decorated
Fantastic = awesome, outrageous, imaginary
Feminine = womanly, ladylike, unmanly
Filthy = dirty, foul, unclean
Flirtatious = brazen, saucy, forward
Foreign = alien, unfamiliar, exotic
Fragrant = aromatic, odorous, perfumed
Frazzled = exhausted, frayed, worn
Fresh = new, original, good
Friendly = affectionate, comforting, welcoming
Frightening = scary, horrifying, awesome
Frivolous = trivial, silly, shallow
Funky = groovy, psychedelic, hip
Funny = amusing, comic, odd
Furious = angry, raging, wild
Fuzzy = downy, unclear, furry
Glamorous = beautiful, dazzling, stylish
Glitzy = flashy, showy, gaudy
Global = world-wide, spherical, universal
Glorious = magnificent, delightful, splendid
Goody-Goody = sweet, well-behaved, virtuous
Graceful = elegant, supple, limber
Handsome = attractive, elegant, fine
Hardworking = industrious, diligent, busy
Harmful = hurtful, unhealthy, damaging
Haunting = unforgettable, bewitching, unearthly
Healthy = hearty, robust, wholesome
Heartless = insensitive, cruel, uncaring
Hilarious = funny, witty, amusing
Honorable = honest, just, virtuous
Hopeless = pessimistic, desperate, downhearted
Horrifying = offensive, abominable, disgusting
Hostile = antagonistic, aggressive, warlike
Hot = blazing, heated, spicy
Idiotic = foolish, dumb, moronic
Important = significant, substantial, momentous
Industrious = diligent, busy, hard-working
Influential = powerful, prominent, important
Innocent = guiltless, pure, naive
Insane = psychotic, deranged, mad
Inspirational = exhilarating, inspiring, stimulating
Insulting = offending, discourteous, rude
Intelligent = bright, smart, brainy
Intense = extreme, passionate, strained
Irresistible = overpowering, overwhelming, compelling
Irritating = annoying, troublesome, provoking
Juicy = drippy, luscious, tantalizing
Lazy = lifeless, apathetic, weary
Legendary = famous, distinctive, prominent
Loud = noisy, boisterous, deafening
Lovable = adorable, endearing, cuddly
Lucky = fortunate, serendipitous, favored
Luscious = delicious, savory, juicy
Luxurious = opulent, lavish, sumptuous
Magical = enchanting, miraculous, marvelous
